index,depth,label,chunk,source,set
0,0.5,3.6,chunk_data/SVID/1cm/chunks/chunk_0.jpg,SVID,Train
1,1.5,,chunk_data/SVID/1cm/chunks/chunk_1.jpg,SVID,N/A
2,2.5,,chunk_data/SVID/1cm/chunks/chunk_2.jpg,SVID,N/A
3,3.5,3.1,chunk_data/SVID/1cm/chunks/chunk_3.jpg,SVID,Train
4,4.5,,chunk_data/SVID/1cm/chunks/chunk_4.jpg,SVID,N/A
5,5.5,,chunk_data/SVID/1cm/chunks/chunk_5.jpg,SVID,N/A
6,6.5,,chunk_data/SVID/1cm/chunks/chunk_6.jpg,SVID,N/A
7,7.5,2.9,chunk_data/SVID/1cm/chunks/chunk_7.jpg,SVID,Test
8,8.5,,chunk_data/SVID/1cm/chunks/chunk_8.jpg,SVID,N/A
9,9.5,,chunk_data/SVID/1cm/chunks/chunk_9.jpg,SVID,N/A
10,10.5,,chunk_data/SVID/1cm/chunks/chunk_10.jpg,SVID,N/A
11,11.5,3.1,chunk_data/SVID/1cm/chunks/chunk_11.jpg,SVID,Test
12,12.5,,chunk_data/SVID/1cm/chunks/chunk_12.jpg,SVID,N/A
13,13.5,,chunk_data/SVID/1cm/chunks/chunk_13.jpg,SVID,N/A
14,14.5,,chunk_data/SVID/1cm/chunks/chunk_14.jpg,SVID,N/A
15,15.5,3.1,chunk_data/SVID/1cm/chunks/chunk_15.jpg,SVID,Train
16,16.5,,chunk_data/SVID/1cm/chunks/chunk_16.jpg,SVID,N/A
17,17.5,,chunk_data/SVID/1cm/chunks/chunk_17.jpg,SVID,N/A
18,18.5,,chunk_data/SVID/1cm/chunks/chunk_18.jpg,SVID,N/A
19,19.5,3.0,chunk_data/SVID/1cm/chunks/chunk_19.jpg,SVID,Test
20,20.5,,chunk_data/SVID/1cm/chunks/chunk_20.jpg,SVID,N/A
21,21.5,,chunk_data/SVID/1cm/chunks/chunk_21.jpg,SVID,N/A
22,22.5,,chunk_data/SVID/1cm/chunks/chunk_22.jpg,SVID,N/A
23,23.5,2.6,chunk_data/SVID/1cm/chunks/chunk_23.jpg,SVID,Test
24,24.5,,chunk_data/SVID/1cm/chunks/chunk_24.jpg,SVID,N/A
25,25.5,,chunk_data/SVID/1cm/chunks/chunk_25.jpg,SVID,N/A
26,26.5,,chunk_data/SVID/1cm/chunks/chunk_26.jpg,SVID,N/A
27,27.5,2.7,chunk_data/SVID/1cm/chunks/chunk_27.jpg,SVID,Train
28,28.5,,chunk_data/SVID/1cm/chunks/chunk_28.jpg,SVID,N/A
29,29.5,,chunk_data/SVID/1cm/chunks/chunk_29.jpg,SVID,N/A
30,30.5,,chunk_data/SVID/1cm/chunks/chunk_30.jpg,SVID,N/A
31,31.5,2.7,chunk_data/SVID/1cm/chunks/chunk_31.jpg,SVID,Train
32,32.5,,chunk_data/SVID/1cm/chunks/chunk_32.jpg,SVID,N/A
33,33.5,,chunk_data/SVID/1cm/chunks/chunk_33.jpg,SVID,N/A
34,34.5,,chunk_data/SVID/1cm/chunks/chunk_34.jpg,SVID,N/A
35,35.5,3.1,chunk_data/SVID/1cm/chunks/chunk_35.jpg,SVID,Train
36,36.5,,chunk_data/SVID/1cm/chunks/chunk_36.jpg,SVID,N/A
37,37.5,,chunk_data/SVID/1cm/chunks/chunk_37.jpg,SVID,N/A
38,38.5,,chunk_data/SVID/1cm/chunks/chunk_38.jpg,SVID,N/A
39,39.5,2.5,chunk_data/SVID/1cm/chunks/chunk_39.jpg,SVID,Train
40,40.5,,chunk_data/SVID/1cm/chunks/chunk_40.jpg,SVID,N/A
41,41.5,,chunk_data/SVID/1cm/chunks/chunk_41.jpg,SVID,N/A
42,42.5,,chunk_data/SVID/1cm/chunks/chunk_42.jpg,SVID,N/A
43,43.5,2.9,chunk_data/SVID/1cm/chunks/chunk_43.jpg,SVID,Test
44,44.5,,chunk_data/SVID/1cm/chunks/chunk_44.jpg,SVID,N/A
45,45.5,,chunk_data/SVID/1cm/chunks/chunk_45.jpg,SVID,N/A
46,46.5,,chunk_data/SVID/1cm/chunks/chunk_46.jpg,SVID,N/A
47,47.5,2.7,chunk_data/SVID/1cm/chunks/chunk_47.jpg,SVID,Test
48,48.5,,chunk_data/SVID/1cm/chunks/chunk_48.jpg,SVID,N/A
49,49.5,,chunk_data/SVID/1cm/chunks/chunk_49.jpg,SVID,N/A
50,50.5,,chunk_data/SVID/1cm/chunks/chunk_50.jpg,SVID,N/A
51,51.5,2.6,chunk_data/SVID/1cm/chunks/chunk_51.jpg,SVID,Test
52,52.5,,chunk_data/SVID/1cm/chunks/chunk_52.jpg,SVID,N/A
53,53.5,,chunk_data/SVID/1cm/chunks/chunk_53.jpg,SVID,N/A
54,54.5,,chunk_data/SVID/1cm/chunks/chunk_54.jpg,SVID,N/A
55,55.5,,chunk_data/SVID/1cm/chunks/chunk_55.jpg,SVID,N/A
56,56.5,,chunk_data/SVID/1cm/chunks/chunk_56.jpg,SVID,N/A
57,57.5,,chunk_data/SVID/1cm/chunks/chunk_57.jpg,SVID,N/A
58,58.5,,chunk_data/SVID/1cm/chunks/chunk_58.jpg,SVID,N/A
59,59.5,2.1,chunk_data/SVID/1cm/chunks/chunk_59.jpg,SVID,Train
60,60.5,,chunk_data/SVID/1cm/chunks/chunk_60.jpg,SVID,N/A
