Train Set,Test Set,Fold,Target,RMSE
lvid,lvid,0,%toc,1.9505157083625657
svid,svid,0,%toc,1.0816190958485048
both,lvid,0,%toc,3.0592836485746937
both,svid,0,%toc,0.9501963062876793
both,both,0,%toc,3.020921794892519
lvid,lvid,1,%toc,3.0179297270358365
svid,svid,1,%toc,0.8734469332365697
both,lvid,1,%toc,4.000322544718597
both,svid,1,%toc,1.7645101683987119
both,both,1,%toc,1.2518074375943387
lvid,lvid,2,%toc,1.6365533534669177
svid,svid,2,%toc,1.0714220675959067
both,lvid,2,%toc,5.639897776217501
both,svid,2,%toc,1.0404339491735075
both,both,2,%toc,3.026623104323338
lvid,lvid,3,%toc,1.6953857649922235
svid,svid,3,%toc,0.4067783968705829
both,lvid,3,%toc,4.9166414927006965
both,svid,3,%toc,0.43991967399597404
both,both,3,%toc,2.952563901555001
lvid,lvid,4,%toc,3.7520990143137487
svid,svid,4,%toc,1.3330856989449915
both,lvid,4,%toc,2.8139147640631705
both,svid,4,%toc,2.126268497167795
both,both,4,%toc,2.413904877594114
lvid,lvid,0,mbt,0.21578083371259157
svid,svid,0,mbt,0.04056890468377297
both,lvid,0,mbt,0.03357925322605681
both,svid,0,mbt,0.04691153092730165
both,both,0,mbt,0.04019782948346098
lvid,lvid,1,mbt,0.08073238727327384
svid,svid,1,mbt,0.03251834683608737
both,lvid,1,mbt,0.13471060358047482
both,svid,1,mbt,0.01724825966247138
both,both,1,mbt,0.051522271586190355
lvid,lvid,2,mbt,0.1283755825295724
svid,svid,2,mbt,0.06669987940910645
both,lvid,2,mbt,0.037151912910069106
both,svid,2,mbt,0.10751428925293782
both,both,2,mbt,0.030718255289359925
lvid,lvid,3,mbt,0.1026437204649266
svid,svid,3,mbt,0.13316240221746842
both,lvid,3,mbt,0.2571650991326306
both,svid,3,mbt,0.022838706043180477
both,both,3,mbt,0.02780431336527177
lvid,lvid,4,mbt,0.09090213801131022
svid,svid,4,mbt,0.04046074643969359
both,lvid,4,mbt,0.09659257612184183
both,svid,4,mbt,0.07774365347506035
both,both,4,mbt,0.05802786242739046
